Komunikat|ID|Kraj|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1795007|PL|30-418|KRAKÓW|Oraczy|14|4|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1796961|PL|00-043|WARSZAWA|Czackiego|3/5|121|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A17971|PL|30-667|KRAKÓW|Facimiech|16|17|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Alberta,Wszystkie kody mają przypisaną ulicę|A1803951|PL|30-444|Kraków|Św. Brata Alberta|8||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Leżajsk (ID=216633),Ulica: Jadwigi-Królowej (ID=824787),Numer budynku: 33a,Liczba znalezionych kodów: 0|A1804149|PL|37-300|Leżajsk|Świętej Jadwigi Królowej|33a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Knurów,Ulica: Chabrowa,Wszystkie kody mają przypisaną ulicę|A1804240|PL|44-190|Knurów|Chabrowa|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Częstochowa,Ulica: Tokarzewskiego-Karaszewicza,Wszystkie kody mają przypisaną ulicę|A1804883|PL|42-221|Częstochowa|Tokarzewskiego-Karaszewicza|10||ŚLĄSKIE|CZĘSTOCHOWA|CZĘSTOCHOWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Libiąż (ID=182040),Ulica: Paderewskiego (ID=636558),Numer budynku: 1,Liczba znalezionych kodów: 0|A1806586|PL|32-590|Libiąż|Ignacego Paderewskie|1|67|MAŁOPOLSKIE|CHRZANOWSKI|LIBIĄŻ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Sufczyn (ID=189697),Numer budynku: 442,Liczba znalezionych kodów: 0|A1806943|PL|32-852|Sufczyn||442||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Staffa,Wszystkie kody mają przypisaną ulicę|A1807077|PL|44-274|Rybnik|Leopolda Staffa|23||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1807142|PL|94-047|Łódź|Wyszyńskiego|43|7|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Mrożka,Wszystkie kody mają przypisaną ulicę|A1807588|PL|33-100|Tarnów|Sławomira Mrożka|5|3|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Biała,Wszystkie kody mają przypisaną ulicę|A1808159|PL|33-102|TARNÓW|Biała|42||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Krościenko nad Dunajcem (ID=185589),Ulica: Wojtyły - Papieża (ID=903263),Numer budynku: 10,Liczba znalezionych kodów: 0|A1808625|PL|34-450|KROŚCIENKO N.DUNAJCEM|Karola Wojtyły-Papieża|10||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Alwernia (ID=185175),Ulica: Zimowa (ID=821272),Numer budynku: 21,Liczba znalezionych kodów: 0|A1809023|PL|32-566|ALWERNIA|Zamkowa|21||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=187348),Numer budynku: 700,Liczba znalezionych kodów: 0|A1810043|PL|33-316|ROŻNÓW||700||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Ujazdowski,Wszystkie kody mają przypisaną ulicę|A1810923|PL|00-583|WARSZAWA|Ujazdowske|9||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabierzów,Ulica: Pogorzany,Wszystkie kody mają przypisaną ulicę|A1811|PL|32-080|ZABIERZÓW|Pogorzany|16||MAŁOPOLSKIE|KRAKOWSKI|ZABIERZÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Otwock,Ulica: Wojska Polskiego,Wszystkie kody mają przypisaną ulicę|A1813611|PL|05-402|OTWOCK|Wojska Polskiego|26||MAZOWIECKIE|OTWOCKI|OTWOCK
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Przy Torze,Wszystkie kody mają przypisaną ulicę|A1814195|PL|30-421|KRAKÓW|PRZY TORZE|14A||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1815032|PL|00-067|WARSZAWA|Traugutta|7|9|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chyliczki,Ulica: Orzechowa,Miejscowość nie ma kodów pocztowych|A1815108|PL|05-500|CHYLICZKI|Orzechowa|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice,Ulica: Einsteina,Wszystkie kody mają przypisaną ulicę|A1822051|PL|44-109|GLIWICE|Alberta Einstaina|36||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1826139|PL|31-144|Kraków|Biskupia|20|3|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Śliwki,Wszystkie kody mają przypisaną ulicę|A1827396|PL|44-206|Rybnik|Księdza Śliwki|20||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Krępiec,Ulica: Reymonta,Wszystkie kody mają przypisaną ulicę|A1828636|PL|21-007|Krępiec|Reymonta|40B||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bąków,Ulica: Zacisze,Miejscowość nie ma kodów pocztowych|A1829165|PL|37-464|Bąków|Zacisze|17||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1830918|PL|30-683|Kraków|Facimiech|6C||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: Roztoki,Wszystkie kody mają przypisaną ulicę|A1831294|PL|43-300|Bielsko-Biała|Roztoki|3|70|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice,Ulica: Elsnera,Wszystkie kody mają przypisaną ulicę|A1834217|PL|44-105|GLIWICE|Elsnera|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1834797|PL|30-668|KRAKÓW|Polonijna|16|11|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabierzów,Ulica: Rynek,Wszystkie kody mają przypisaną ulicę|A1836037|PL|32-080|ZABIERZÓW|Pl.Rynek|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabierzów,Ulica: Rynek,Wszystkie kody mają przypisaną ulicę|A1836378|PL|32-080|ZABIERZÓW|Rynek|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Mielec (ID=216079),Ulica: Startowa (ID=842973),Numer budynku: 58,Liczba znalezionych kodów: 0|A1836579|PL|32-651|MIELEC|Stawowa|58||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piaseczno,Ulica: Kineskopowa,Wszystkie kody mają przypisaną ulicę|A1838480|PL|05-500|PIASECZNO|Kineskopowa|1B|126|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1839215|PL|31-144|KRAKÓW|Biskupia|1||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1841683|PL|30-668|KRAKÓW|Polonijna|21|8|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1842226|PL|30-418|KRAKÓW|ORACZY|5|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kalisz (ID=249717),Ulica: Główny Rynek (ID=805462),Numer budynku: 15,Liczba znalezionych kodów: 0|A1842486|PL|62-800|KALISZ|Gł.Rynek|15||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: nad Sudołem,Wszystkie kody mają przypisaną ulicę|A1842634|PL|31-228|KRAKÓW|nad Sudołem|6||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wojcieszyce,Ulica: Parkowa,Miejscowość nie ma kodów pocztowych|A1844097|PL|66-415|WOJCIESZYCE|Parkowa|33||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lęda (ID=162324),Numer budynku: LS12,Liczba znalezionych kodów: 0|A1846502|PL||LEEDS|Leeds|LS12|2TU|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kosakowo (ID=222736),Ulica: Krokusowa (ID=753096),Numer budynku: 9b,Liczba znalezionych kodów: 0|A1846587|PL|81-198|KOSAKOWO|Kokosowa|9b||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Na Grządkach,Wszystkie kody mają przypisaną ulicę|A1847781|PL|30-421|KRAKÓW|Na Grządkach|2|1|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Wody,Wszystkie kody mają przypisaną ulicę|A1848465|PL|33-100|TARNÓW|Wiesława Wody|27||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Traugutta,Wszystkie kody mają przypisaną ulicę|A1848976|PL|00-067|WARSZAWA|ul. Romualda Traugutta|3|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Zagłoby,Wszystkie kody mają przypisaną ulicę|A1849038|PL|92-430|ŁÓDŹ|ZAGŁOBY|18|6|ŁÓDZKIE|ŁÓDŹ|ŁÓDŹ
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piaseczno,Ulica: Kineskopowa,Wszystkie kody mają przypisaną ulicę|A1849489|PL|05-500|PIASECZNO|Kineskopowa|1D||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Staffa,Wszystkie kody mają przypisaną ulicę|A1854187|PL|44-274|Rybnik|Staffa|10 c||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rybnik,Ulica: Pod Hałdą,Wszystkie kody mają przypisaną ulicę|A1854597|PL|44-206|Rybnik|Pod Hałdą|29a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Siedlce,Ulica: Liliowa,Wszystkie kody mają przypisaną ulicę|A1855316|PL|08-110|Siedlce|Liliowa|14||MAZOWIECKIE|SIEDLCE|SIEDLCE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Zabrze,Ulica: Goethego,Wszystkie kody mają przypisaną ulicę|A1856465|PL|41-800|Zabrze|Goethego|16|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: 1 Dywizji Pancernej,Wszystkie kody mają przypisaną ulicę|A1865902|PL|43-300|BIELOSKO- BIAŁA|1 Dywizji Pancernej|45|206|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Górnicza,Ulica: Toruńska,Wszystkie kody mają przypisaną ulicę|A1865904|PL|41-300|DĄBROWA GÓRNICZA|Toruńska|7||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Stare Babice (ID=200056),Ulica: Bajkowa (ID=895800),Numer budynku: 1a,Liczba znalezionych kodów: 0|A1867924|PL|05-082|STARE BABICE ZIELONKI PARC|Parkowa|1a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Konstancin-Jeziorna,Ulica: Pułaskiego,Wszystkie kody mają przypisaną ulicę|A1870183|PL|05-510|KONSTANCIN-JEZIORNA|Kazimierza Pułaskiego|76||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Władysława,Wszystkie kody mają przypisaną ulicę|A1870640|PL|44-240|ŻORY|Oś.Księcia Władysława|5E|26|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chorzów,Ulica: AKS,Wszystkie kody mają przypisaną ulicę|A1871568|PL|41-503|CHORZÓW|Marii Skłodowskie Curie|30||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów Opolski,Ulica: Kopernika,Miejscowość nie ma kodów pocztowych|A1872007|PL||TARNÓW OPOLSKI|Kopernika|17a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lublin,Ulica: Krupskiego,Wszystkie kody mają przypisaną ulicę|A1872388|PL|59-300|LUBLIN|KRUPIŃSKIEGO|95A||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=187348),Numer budynku: 617,Liczba znalezionych kodów: 0|A1872847|PL|33-318|Rożnów||617|1|MAŁOPOLSKIE|NOWOSĄDECKI|GRÓDEK NAD DUNAJCEM
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Iława,Ulica: Dobrawy,Wszystkie kody mają przypisaną ulicę|A1873495|PL|14-200|Iława|Dobrawy|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1873895|PL|30-667|Kraków|Facimiech|3b||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gliwice,Ulica: Elsnera,Wszystkie kody mają przypisaną ulicę|A1874296|PL|44-105|Gliwice|Józefa Elsnera|41E||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Głogów Małopolski (ID=216580),Ulica: Parkowa (ID=668804),Numer budynku: 9a,Liczba znalezionych kodów: 0|A1874629|PL|36-060|Głogów Małopolski|Piaskowa|9a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1874893|PL|30-667|Kraków|Facimiech|4b|12|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Jaworzyna Śląska (ID=157234),Ulica: Piaskowa (ID=800886),Numer budynku: 5,Liczba znalezionych kodów: 0|A1879235|PL|58-140|JAWORZYNA ŚLĄZKA|Parkowa|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1879559|PL|00-043|WARSZAWA|Czackiego|3/5|302|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gorzelnia,Ulica: Podlaska,Miejscowość nie ma kodów pocztowych|A1879996|PL|42-290|GORZELNIA|Podlaska|12||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kotla (ID=156348),Ulica: Głogowska (ID=612040),Numer budynku: 57,Liczba znalezionych kodów: 0|A1880569|PL|67-210|KOTLA|GŁOGÓWKO|57||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Michałów Rudnicki,Ulica: Częstochowska,Miejscowość nie ma kodów pocztowych|A1882460|PL|42-270|MICHAŁÓW RUDNICKI|Częstochowska|10||ŚLĄSKIE|CZĘSTOCHOWSKI|KŁOMNICE
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1884526|PL|00-043|WARSZAWA|Czackiego|3/5|21|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łosice (ID=206291),Ulica: "Zenona" (ID=659675),Numer budynku: 3,Liczba znalezionych kodów: 0|A1884701|PL|08-200|ŁOSICE|Majora Zenona|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: 1 Dywizji Pancernej,Wszystkie kody mają przypisaną ulicę|A1886638|PL|43-300|BIELSKO-BIAŁA|1 Dywizji Pancernej|45||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1886955|PL|30-668|KRAKÓW|Polonijna|7|183|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Biskupia,Wszystkie kody mają przypisaną ulicę|A1888268|PL|31-144|KRAKÓW|Biskupia|10|2|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Częstochowa,Ulica: Tokarzewskiego-Karaszewicza,Wszystkie kody mają przypisaną ulicę|A1888625|PL|42-200|CZĘSTOCHOWA|TOKARZEWSKIEGO-KARASZEWICZA|27||ŚLĄSKIE|CZĘSTOCHOWA|CZĘSTOCHOWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1889396|PL|94-047|ŁÓDŹ|Wyszyńskiego|33|8|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Bielsko-Biała,Ulica: 1 Dywizji Pancernej,Wszystkie kody mają przypisaną ulicę|A1890864|PL|43-300|BIELSKO BIAŁA|1 Dywizji Pancernej|45||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Przybysławice (ID=193149),Ulica: Malinowa (ID=901082),Numer budynku: 6,Liczba znalezionych kodów: 0|A1891833|PL|32-088|PRZYBYSŁAWICE|Daliowa|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Straszyn (ID=225764),Ulica: Starogardzka (ID=730877),Numer budynku: 77,Liczba znalezionych kodów: 0|A1892198|PL|83-010|STRASZYN K. GDAŃSKA|Starogrodzka|77||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łaziska Górne,Ulica: Głowińskiego,Wszystkie kody mają przypisaną ulicę|A1894028|PL|43-173|Łaziska Górne|Głowińskiego|26B|6|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1894095|PL|30-668|Kraków|Polonijna|7|160|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1894795|PL|30-668|Kraków|Polonijna|7|16|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1894814|PL|30-668|Kraków|Polonijna|11|8|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Na Grządkach,Wszystkie kody mają przypisaną ulicę|A1896098|PL|30-421|Kraków|Na Grządkach|5a|6|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Osówiec,Ulica: Wrzosowa,Wszystkie kody mają przypisaną ulicę|A1897065|PL|86-014|Osówiec / Sicienko|Wrzosowa|4||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1897425|PL|30-668|Kraków|Polonijna|11|94|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Bogdanowicza,Wszystkie kody mają przypisaną ulicę|A1898012|PL|30-405|Kraków|Bogdanowicza|4||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dęblin (ID=168387),Ulica: 15 Pułku Piechoty "Wilków" (ID=653033),Numer budynku: 3,Liczba znalezionych kodów: 0|A1898547|PL|08-530|DĘBLIN|15 Pułku Piechoty Wilków|3||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gryfice (ID=254198),Ulica: Starogrodzka (ID=763664),Numer budynku: 1,Liczba znalezionych kodów: 0|A1899228|PL|72-300|GRYFICE|Starogardzka|1|2|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poznań,Ulica: Jadwigi,Wszystkie kody mają przypisaną ulicę|A1902273|PL|61-872|POZNAŃ|Królowej Jadwogi|43||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Rożnów (ID=187348),Numer budynku: 700,Liczba znalezionych kodów: 0|A1904021|PL|33-316|ROŻNÓW||700||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Inowrocław (ID=163059),Ulica: Ikara (ID=808870),Numer budynku: 41A,Liczba znalezionych kodów: 0|A1905227|PL|88-100|INOWROCŁAW|Sikora|41A||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Gdańsk,Ulica: Bartoszewskiego,Wszystkie kody mają przypisaną ulicę|A1905709|PL|80-862|GDAŃSK|Pl. Władysława Bartoszewskiego|1||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Łódź,Ulica: Wyszyńskiego,Wszystkie kody mają przypisaną ulicę|A1907283|PL|94-042|ŁÓDŹ|Wyszyńskiego|24|46|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Tarnów,Ulica: Rozwojowa,Wszystkie kody mają przypisaną ulicę|A1908328|PL|33-100|TARNÓW|Rozwojowa|49||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Iława,Ulica: Sikorskiego,Wszystkie kody mają przypisaną ulicę|A1909004|PL|14-200|IŁAWA|Sikorskiego|45||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1915048|PL|30-405|KRAKÓW|Szaniawskiego|29||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Andrychów (ID=194556),Ulica: Sanaka (ID=795344),Numer budynku: 5,Liczba znalezionych kodów: 0|A1916482|PL|34-120|Andrychów|Ks. Jana Nowaka|5||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Wojcieszyce,Ulica: Słoneczna,Miejscowość nie ma kodów pocztowych|A1916774|PL|66-415|Wojcieszyce|Słoneczna|14||LUBUSKIE|GORZOWSKI|KŁODAWA
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1917280|PL|30-668|Kraków|Polonijna|7|28|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Lanckorona (ID=189198),Ulica: Marka (ID=884129),Numer budynku: 52,Liczba znalezionych kodów: 0|A1917285|PL|34-143|Lanckorona|Barska|52||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Nowy Dwór Mazowiecki,Ulica: Diamentowa,Wszystkie kody mają przypisaną ulicę|A1918470|PL|05-101|Nowy Dwór Mazowiecki|diamentowa|6a||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1919257|PL|30-667|Kraków|Facimiech|9|7|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Oraczy,Wszystkie kody mają przypisaną ulicę|A1919789|PL|30-418|Kraków|Oraczy|5|5|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Facimiech,Wszystkie kody mają przypisaną ulicę|A1919896|PL|30-667|Kraków|Facimiech|16|48|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Chełm (ID=169873),Ulica: Wyszyńskiego (ID=623655),Numer budynku: 2B,Liczba znalezionych kodów: 0|A1926902|PL|22-100|CHEŁM|ul. Prymasa Stefana Wyszyńskie|2B||LUBELSKIE||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ostrołęka,Ulica: Waltera,Wszystkie kody mają przypisaną ulicę|A1927117|PL|07-410|OSTROŁĘKA|księdza Edmunda Waltera|6||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Żory,Ulica: Pileckiego,Wszystkie kody mają przypisaną ulicę|A1928353|PL|44-240|ŻORY|Pileckiego|31||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Piaseczno,Ulica: Kineskopowa,Wszystkie kody mają przypisaną ulicę|A1929084|PL|05-500|PIASECZNO|Kineskopowa|1|114|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Ruda Śląska,Ulica: Barbary,Wszystkie kody mają przypisaną ulicę|A1929686|PL|41-709|RUDA ŚLĄSKA|Szyb Barbary|2||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Poznań (ID=250342),Ulica: Czapskiego (ID=808490),Numer budynku: 3,Liczba znalezionych kodów: 0|A1930255|PL|61-712|POZNAŃ|Czackiego|3|5|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Warszawa,Ulica: Czackiego,Wszystkie kody mają przypisaną ulicę|A1932596|PL|00-043|WARSZAWA|Czackiego|3|5/502|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kielce,Ulica: Żołnierzy Misji Pokojowych Organizacji Narodów Zjednoczonych,Wszystkie kody mają przypisaną ulicę|A1932732|PL|25-548|KIELCE|Okrana|34|30|||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Szyce,Ulica: Nasza,Wszystkie kody mają przypisaną ulicę|A1935848|PL|32-085|SZYCE|NASZA|1C||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kocmyrzów (ID=189465),Ulica: Łąkowa (ID=840830),Numer budynku: 22,Liczba znalezionych kodów: 0|A1937558|PL|32-010|Kocmyrzów|ul. Parkowa|22||||
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Polonijna,Wszystkie kody mają przypisaną ulicę|A1938047|PL|30-668|Kraków|ul. Polonijna|11|28|MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Kraków,Ulica: Szaniawskiego,Wszystkie kody mają przypisaną ulicę|A1939805|PL|30-405|Kraków|ul.Szaniawskiego|12a||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Nie znaleziono kodu pocztowego dla podanych parametrów/Miasto: Dąbrowa Tarnowska (ID=195242),Ulica: Rynek (ID=837344),Numer budynku: 3,Liczba znalezionych kodów: 0|A1940451|PL|33-200|Dąbrowa Tarnowska|ul. Kardynała Stefana Wyszyńsk|3|34|||
