Komunikat|ID|Kod|Miejscowość|Ulica|Nr domu|Nr mieszkania|Województwo|Powiat|Gmina
Numer domu jest wymagany|A1230192|05-090|RASZYN|Falenty|||||
Numer domu jest wymagany|A1234162|11-731|SORKWITY||||||
Numer domu jest wymagany|A1234171|32-447|SIEPRAW 775||||||
Numer domu jest wymagany|A1234295|34-315|MIĘDZYBRODZIE ŻYWIECKIE||||||
Numer domu jest wymagany|A1233045||BYDGOSZCZ|-|||||
Numer domu jest wymagany|A1234548|28-142|TUCZĘPY|Rzędów|||||
Numer domu jest wymagany|A1234979||ANGLIA|75 Montrose Street-Glassgow|||||
Numer domu jest wymagany|A1233094|38-309|GŁADYSZÓW||||||
Numer domu jest wymagany|A1233218|38-200|JASŁO||||||
Numer domu jest wymagany|A1234417|34-210|ZEMBRZYCE||||||
Numer domu jest wymagany|A1300472|32-765|ŁAZY 136||||||
Numer domu jest wymagany|A1300685|45-071|OPOLE|Armii Krajowej|||||
Numer domu jest wymagany|A1303061|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1232481||OLSZTYN|-|||||
Numer domu jest wymagany|A1232909||KRYNICA|-|||||
Numer domu jest wymagany|A1232936||ZAKOPANE|-|||||
Numer domu jest wymagany|A1233432|64-830|MARGONIN|Próchnowo|||||
Numer domu jest wymagany|A1233456|59-700|BOLESŁAWIEC ŚLĄSKI||||||
Numer domu jest wymagany|A1233496||WARSZAWA|-|||||
Numer domu jest wymagany|A1233499|32-060|LISZKI|cholerzyn|||||
Numer domu jest wymagany|A1233534||KATOWICE|-|||||
Numer domu jest wymagany|A1233537|53-019|WROCŁAW||||||
Numer domu jest wymagany|A1231771||KATOWICE|-|||||
Numer domu jest wymagany|A1231784|77-230|KĘPCE||||||
Numer domu jest wymagany|A1232279|39-400|TARNOBRZEG|M.Skłodowskiej-Curie|||||
Numer domu jest wymagany|A1232271|28-230|POŁANIEC||||||
Numer domu jest wymagany|A1232307||ANGLIA|ANGLIA|||||
Numer domu jest wymagany|A1232320||ŁÓDŹ|-|||||
Numer domu jest wymagany|A1888924|05-220|ZIELONKA|Jacka Woronieckiego|||||
Numer domu jest wymagany|A1239337|32-066|ALWERNIA|Regulice|||||
Numer domu jest wymagany|A1295412|26-434|SNARKI||||||
Numer domu jest wymagany|A1306996|03-964|WARSZAWA|Al.Stanów Zjednoczonych|||||
Numer domu jest wymagany|A1307393|00-901|WARSZAWA|Pałac Kultury i Nauki|||||
Numer domu jest wymagany|A1307472|34-361|ŻABNICA||||||
Numer domu jest wymagany|A1307534||PIOTRKÓW TRYBUNALSKI|Przemysłowa|||||
Numer domu jest wymagany|A1307590|32-566|OKLEŚNA||||||
Numer domu jest wymagany|A1237168|32-351|BABICE|Wygiłzów|||||
Numer domu jest wymagany|A1238628||POZNAŃ|Wieniawskiego|||||
Numer domu jest wymagany|A36640|30-059|KRAKÓW|Piastowska|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1240768|44-101|GLIWICE|Konarskiego|||||
Numer domu jest wymagany|A1239778|87-800|WŁOCŁAWEK|Mechaników|||||
Numer domu jest wymagany|A1238283|43-340|KOZY||||||
Numer domu jest wymagany|A1239288|38-441|LUBATOWA||||||
Numer domu jest wymagany|A1240219|36-105|HADYKÓWKA||||||
Numer domu jest wymagany|A1244586|00-901|WARSZAWA||||||
Numer domu jest wymagany|A1312607|42-701|LUBLINIEC||||||
Numer domu jest wymagany|A1312783|26-400|PRZYSUCHA|Przemysłowa||18|||
Numer domu jest wymagany|A1773029|42-421|WŁODOWICE|Orle Gniazdo|||||
Numer domu jest wymagany|A1245384|32-078|TRZYCIĄŻ||||||
Numer domu jest wymagany|A1245405|31-722|KRÓLÓWKA|Muchówka|||||
Numer domu jest wymagany|A1245457|26-600|RADOM||||||
Numer domu jest wymagany|A1245480||CZĘSTOCHOWA|Polskiej Organizacji Wojsko|||||
Numer domu jest wymagany|A1238104|33-314|WRONOWICE||||MAŁOPOLSKIE|NOWY SĄCZ|NOWY SĄCZ
Numer domu jest wymagany|A1262374||ERIE|2930 West 22nd Street|||||
Numer domu jest wymagany|A11620730||MODLNICZKA|Komandosów|||||
Numer domu jest wymagany|A1245816|32-590|LIBIĄŻ|Ratowników Górniczych|||||
Numer domu jest wymagany|A1744353|32-070|CZERNICHÓW 11||||||
Numer domu jest wymagany|A1245873|01-210|WARSZAWA||||||
Numer domu jest wymagany|A1247553|64-920|PIŁA|Leszków|||||
Numer domu jest wymagany|A1250602|34-602|LASKOWA||||||
Numer domu jest wymagany|A1250707|28-406|BOGUCICE 54||||||
Numer domu jest wymagany|A1316224|30-199|RZĄSKA 460A||||||
Numer domu jest wymagany|A1241681|29-105|KRASOCIN|Ludynia|||||
Numer domu jest wymagany|A1241712|02-954|WARSZAWA|Królowej Marysieńki|||||
Numer domu jest wymagany|A1243918||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243920||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243922||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243924||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243925||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243926||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243927||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243928||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1243935||KRAKÓW|Polna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1253911|01-641|WARSZAWA||||||
Numer domu jest wymagany|A1191457||KRAKÓW|<Piastowska|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1239380|59-252|IWINY||||||
Numer domu jest wymagany|A1255054||BOCHNIA|-|||||
Numer domu jest wymagany|A1255060|28-406|BOGUCICE||||||
Numer domu jest wymagany|A1255138|32-060|CHOLERZYN 382||||||
Numer domu jest wymagany|A1255143||RYBNIK|Drzymały|||||
Numer domu jest wymagany|A1253850|32-065|SIEDLEC 192||||||
Numer domu jest wymagany|A1318060|38-305|WÓJTOWA 142||||||
Numer domu jest wymagany|A1318231|32-091|MICHAŁOWICE II 75||||||
Numer domu jest wymagany|A1318259|28-340|SWARYSZÓW 45||||ŚWIĘTOKRZYSKIE||
Numer domu jest wymagany|A1251541|41-949|PIEKARY ŚL.|M.Skłodowskiej 59/I /4|||ŚLĄSKIE|PIEKARY ŚLĄSKIE|PIEKARY ŚLĄSKIE
Numer domu jest wymagany|A1322418|34-146|STRYSZÓW||||||
Numer domu jest wymagany|A1252432||KRAKÓW|Mickiewicza|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1241523|42-500|BĘDZIN|-|||||
Numer domu jest wymagany|A1256596|32-610|OŚWIĘCIM|Powstańcow Warszawskich|||||
Numer domu jest wymagany|A1256599|28-221|OSIEK|Słoneczna|||||
Numer domu jest wymagany|A1322577|32-420|GDÓW 1200||||||
Numer domu jest wymagany|A1295422|32-329|PODLIPIE||||MAŁOPOLSKIE||
Numer domu jest wymagany|A1295062|27-670|ŚWINIARY NOWE||||ŚWIĘTOKRZYSKIE||
Numer domu jest wymagany|A1252497|45-219|OPOLE|Tulipanów4|||||
Numer domu jest wymagany|A1254703|38-400|KROSNO|ST.BATOREGO|||PODKARPACKIE|KROSNO|KROSNO
Numer domu jest wymagany|A1246486|62-035|KÓRNIK|-l.|||||
Numer domu jest wymagany|A1246520|02-134|WARSZAWA||||||
Numer domu jest wymagany|A1249493|37-300|LEŻAJSK||||||
Numer domu jest wymagany|A1257400|68-131|WYMIARKI||||||
Numer domu jest wymagany|A1323520|21-013|PUCHACZÓW||||||
Numer domu jest wymagany|A1254443||WARSZAWA|-|||||
Numer domu jest wymagany|A1254297|37-112|KOSINA|Kosina|||||
Numer domu jest wymagany|A1254448|44-137|CZEKANÓW K/GLIWIC|Zwycięstwa 2 - Szałsza|||ŚLĄSKIE|TARNOGÓRSKI|TARNOWSKIE GÓRY
Numer domu jest wymagany|A1254451|40-774|KATOWICE|Panewnicka 335 A/33|||ŚLĄSKIE|KATOWICE|KATOWICE
Numer domu jest wymagany|A1248662|31-216|KRAKÓW|M.Bobrzeckiej|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1248665|34-313|PORĄBKA 76||||ŚLĄSKIE|BIELSKO-BIAŁA|BIELSKO-BIAŁA
Numer domu jest wymagany|A1248691|32-640|LASKOWA ZATOR||||MAŁOPOLSKIE|OŚWIĘCIMSKI|OŚWIĘCIM
Numer domu jest wymagany|A1248851|02-015|WARSZAWA||||||
Numer domu jest wymagany|A1247342|26-911|ŚWIERŻE GÓRNE||||||
Numer domu jest wymagany|A1252626|24-120|KAZIMIERZ DOLNY||||||
Numer domu jest wymagany|A1259246|37-232|JAWORNIK POLSKI 61||||PODKARPACKIE|PRZEWORSKI|PRZEWORSK
Numer domu jest wymagany|A1258252|50-045|WROCŁAW||||||
Numer domu jest wymagany|A1325785|26-052|SITKÓWKA 14||||||
Numer domu jest wymagany|A1325786|38-608|WETLINA||||||
Numer domu jest wymagany|A1247845|31-542|KRAKÓW|Mogilska|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1249086|59-252|IWINY||||||
Numer domu jest wymagany|A1266281||CANADA E 3 B 5A3|FREDERICTION NB|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1329358|26-004|BIELINY||||||
Numer domu jest wymagany|A1330371|37-450|STALOWA WOLA||||||
Numer domu jest wymagany|A1330380|41-310|DĄBROWA GÓRNICZA||||||
Numer domu jest wymagany|A1330381|26-065|PIEKOSZÓW||||||
Numer domu jest wymagany|A1330384|36-050|SOKOŁÓW MŁP.||||||
Numer domu jest wymagany|A1330385|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1330386|22-400|ZAMOŚĆ||||||
Numer domu jest wymagany|A1330387|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1330421|32-040|WRZĄSOWICE||||||
Numer domu jest wymagany|A1330422|27-600|SANDOMIERZ||||||
Numer domu jest wymagany|A1330423|30-199|RZĄSKA||||||
Numer domu jest wymagany|A1330424|44-194|KNURÓW||||||
Numer domu jest wymagany|A1330425|41-300|DĄBROWA GÓRNICZA||||||
Numer domu jest wymagany|A1330426|25-634|KIELCE||||||
Numer domu jest wymagany|A1330430|38-244|ŚWIĘCANY||||||
Numer domu jest wymagany|A1330374|30-428|KRAKÓW||||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1330433|33-101|TARNÓW||||||
Numer domu jest wymagany|A1330435|33-140|LISIA GÓRA||||||
Numer domu jest wymagany|A1330436|55-231|JELCZ-LASKOWICE||||||
Numer domu jest wymagany|A1330437|32-065|NOWA GÓRA||||||
Numer domu jest wymagany|A1330438|97-200|TOMASZÓW MAZOWIECKI||||||
Numer domu jest wymagany|A1330439|28-366|MAŁOGOSZCZ||||||
Numer domu jest wymagany|A1249862||LUBLIN|Sikorskiego|||||
Numer domu jest wymagany|A1258098|33-380|KRYNICA||||||
Numer domu jest wymagany|A1247632||GDAŃSK|Narutowicza|||||
Numer domu jest wymagany|A1247653|33-156|SKRZYSZÓW|Ładna|||||
Numer domu jest wymagany|A1331313|32-050|SKAWINA||||||
Numer domu jest wymagany|A1331038|28-100|BUSKO-ZDRÓJ||||||
Numer domu jest wymagany|A1331041|32-731|ŻEGOCINA||||||
Numer domu jest wymagany|A1331044|32-436|TOKARNIA||||||
Numer domu jest wymagany|A1331047|32-305|OLKUSZ||||||
Numer domu jest wymagany|A1331048|32-087|ZIELONKI||||||
Numer domu jest wymagany|A1331156|28-100|BUSKO ZDRÓJ||||||
Numer domu jest wymagany|A1312206|33-322|KORZENNA||||||
Numer domu jest wymagany|A1331083|34-206|KUKÓW||||||
Numer domu jest wymagany|A1331088|37-220|KAŃCZUGA||||||
Numer domu jest wymagany|A1331090|39-300|MIELEC||||||
Numer domu jest wymagany|A1331091|38-481|RYMANÓW ZDRÓJ||||||
Numer domu jest wymagany|A1331092|39-300|MIELEC||||||
Numer domu jest wymagany|A1331099|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1331111|22-417|BOROWINA STAROZAMOJSKA||||||
Numer domu jest wymagany|A1331116|43-200|PSZCZYNA||||||
Numer domu jest wymagany|A1331125|26-414|POTWORÓW||||||
Numer domu jest wymagany|A1331139|28-400|PIŃCZÓW||||||
Numer domu jest wymagany|A1331146|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1312764|37-414|CIOSMY||||||
Numer domu jest wymagany|A1331150|37-410|ULANÓW||||||
Numer domu jest wymagany|A1331153|42-300|MYSZKÓW||||||
Numer domu jest wymagany|A1331154|28-230|POŁANIEC||||||
Numer domu jest wymagany|A1331159|38-500|SANOK||||||
Numer domu jest wymagany|A1331161|34-600|LIMANOWA||||||
Numer domu jest wymagany|A1331166|32-060|LISZKI||||||
Numer domu jest wymagany|A1331174|26-422|RZUCÓW||||||
Numer domu jest wymagany|A1331176|22-500|HRUBIESZÓW||||||
Numer domu jest wymagany|A1331179|23-450|ZAGRODY||||||
Numer domu jest wymagany|A1331181|33-100|TARNÓW||||||
Numer domu jest wymagany|A1331182|34-105|WYSOKA||||||
Numer domu jest wymagany|A1331184|33-170|PIOTRKOWICE||||||
Numer domu jest wymagany|A1331186|37-544|ZAPAŁÓW||||||
Numer domu jest wymagany|A1331188|32-040|OCHOJNO||||||
Numer domu jest wymagany|A1331195|41-200|SOSNOWIEC||||||
Numer domu jest wymagany|A1331197|32-340|WOLBROM||||||
Numer domu jest wymagany|A1331198|39-460|NOWA DĘBA||||||
Numer domu jest wymagany|A1331200|42-300|MYSZKÓW|a|||||
Numer domu jest wymagany|A1331201|44-240|ŻORY||||||
Numer domu jest wymagany|A1331202|37-550|SKOŁOSZÓW||||||
Numer domu jest wymagany|A1331204|34-600|LIMANOWA||||||
Numer domu jest wymagany|A1331205|34-130|BARWAŁD GÓRNY||||||
Numer domu jest wymagany|A1331209|32-016|STANISŁAWICE||||||
Numer domu jest wymagany|A1331210|37-741|ŚLIWNICA||||||
Numer domu jest wymagany|A1331212|33-300|NOWY SĄCZ||||||
Numer domu jest wymagany|A1331213|32-200|MIECHÓW||||||
Numer domu jest wymagany|A1331214|34-234|OSIELEC||||||
Numer domu jest wymagany|A1331215|25-113|KIELCE||||||
Numer domu jest wymagany|A1331216|32-412|WIŚNIOWA||||||
Numer domu jest wymagany|A1331217|40-096|KATOWICE||||||
Numer domu jest wymagany|A1331219|27-400|OSTROWIEC ŚWIĘTOKRZYSKI||||||
Numer domu jest wymagany|A1331164|31-962|KRAKÓW||||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1331221|20-850|LUBLIN||||||
Numer domu jest wymagany|A1331222|34-730|MSZANA DOLNA||||||
Numer domu jest wymagany|A1331223|32-551|MĘTKÓW||||||
Numer domu jest wymagany|A1331224|32-087|WOLA ZACHARIASZOWSKA||||||
Numer domu jest wymagany|A1331225|26-300|OPOCZNO||||||
Numer domu jest wymagany|A1331228|38-100|STRZYŻÓW||||||
Numer domu jest wymagany|A1331239|37-403|JASTKOWICE||||||
Numer domu jest wymagany|A1331241|43-300|BIELSKO-BIAŁA||||||
Numer domu jest wymagany|A1331244|22-600|TOMASZÓW LUBELSKI||||||
Numer domu jest wymagany|A1331246|37-403|PYSZNICA||||||
Numer domu jest wymagany|A1331247|32-543|MYŚLACHOWICE||||||
Numer domu jest wymagany|A1331249|32-050|SKAWINA||||||
Numer domu jest wymagany|A1331251|22-400|ZAMOŚĆ||||||
Numer domu jest wymagany|A1331253|33-390|ZABRZEŻ||||||
Numer domu jest wymagany|A1331255|43-430|SKOCZÓW||||||
Numer domu jest wymagany|A1331258|32-400|JAWORNIK||||||
Numer domu jest wymagany|A1331261|22-400|ZAMOŚĆ||||||
Numer domu jest wymagany|A1331264|28-230|POŁANIEC||||||
Numer domu jest wymagany|A1331274|32-087|ZIELONKI||||||
Numer domu jest wymagany|A1331276|33-100|TARNÓW||||||
Numer domu jest wymagany|A1331278|34-471|LUDZMIERZ||||||
Numer domu jest wymagany|A1331282|43-502|CZECHOWICE-DZIEDZICE||||||
Numer domu jest wymagany|A1331293|32-300|OLKUSZ||||||
Numer domu jest wymagany|A1331295|39-300|MIELEC||||||
Numer domu jest wymagany|A1331296|32-600|OŚWIĘCIM||||||
Numer domu jest wymagany|A1331301|36-001|NOWA WIEŚ||||||
Numer domu jest wymagany|A1331304|39-300|MIELEC||||||
Numer domu jest wymagany|A1331305|34-505|ZAKOPANE||||||
Numer domu jest wymagany|A1331307|00-716|WARSZAWA||||||
Numer domu jest wymagany|A1331308|42-400|ZAWIERCIE||||||
Numer domu jest wymagany|A1331309|38-200|JASŁO||||||
Numer domu jest wymagany|A1331310|34-500|ZAKOPANE||||||
Numer domu jest wymagany|A1331311|34-730|MSZANA DOLNA||||||
Numer domu jest wymagany|A1331312|32-060|LISZKI||||||
Numer domu jest wymagany|A1331317|43-603|JAWORZNO||||||
Numer domu jest wymagany|A1331318|26-110|SKARŻYSKO KAMIENNA||||||
Numer domu jest wymagany|A1331319|40-820|KATOWICE||||||
Numer domu jest wymagany|A1331322|34-314|CZANIEC||||||
Numer domu jest wymagany|A1331326|37-450|STALOWA WOLA||||||
Numer domu jest wymagany|A1331334|39-200|DĘBICA||||||
Numer domu jest wymagany|A1331335|28-366|MAŁOGOSZCZ||||||
Numer domu jest wymagany|A1331337|43-417|KACZYCE||||||
Numer domu jest wymagany|A1260575|36-203|IZDEBKI 587||||PODKARPACKIE|BRZOZOWSKI|BRZOZÓW
Numer domu jest wymagany|A1260774|38-322|ŁUŻNA 105||||MAŁOPOLSKIE|GORLICKI|GORLICE
Numer domu jest wymagany|A1249521|38-307|SĘKOWA||||||
Numer domu jest wymagany|A1248317|02-916|WARSZAWA|Muszyńska|||||
Numer domu jest wymagany|A1263775|38-300|GORLICE|Podzamcze|||||
Numer domu jest wymagany|A1263868|39-300|MIELEC||||||
Numer domu jest wymagany|A1194362||KRAKÓW|nieznana|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1334956|31-571|KRAKÓW||||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1262586|32-066|ALWERNIA|Regulice|||||
Numer domu jest wymagany|A1266034|32-444|GŁOGOCZÓW||||||
Numer domu jest wymagany|A1264416||JASTRZĘBIE ZDRÓJ|.|||||
Numer domu jest wymagany|A1264433||PRZEMYŚL|l.|||||
Numer domu jest wymagany|A1264440||NOWY SĄCZ|.|||||
Numer domu jest wymagany|A1264552|32-087|ZIELONKI 570||||||
Numer domu jest wymagany|A1265075|08-406|TRĘBKI|gm. Pilawa|||||
Numer domu jest wymagany|A1336364|63-600|MIANOWICE 3A||||||
Numer domu jest wymagany|A1336378|32-002|KOKOTÓW||||||
Numer domu jest wymagany|A1336831|26-065|PIEKOSZÓW||||||
Numer domu jest wymagany|A1336937|39-307|WOLA ZDAKOWSKA||||PODKARPACKIE||
Numer domu jest wymagany|A1462124|38-700|USTIANOWA DOLNA||||||
Numer domu jest wymagany|A1262987||SANOK|-|||||
Numer domu jest wymagany|A1262982||GORLICE|-|||||
Numer domu jest wymagany|A1263018||CZĘSTOCHOWA F.RADOMSKO|-|||||
Numer domu jest wymagany|A1263019||OLKUSZ FIL.BUKOWNO|-|||||
Numer domu jest wymagany|A1262636|01-772|WARSZAWA|Sady Zoliborskie|||||
Numer domu jest wymagany|A1262799|00-582|WARSZAWA||||||
Numer domu jest wymagany|A1265278|36-100|KOLBUSZOWA||||||
Numer domu jest wymagany|A1265376||ELBLĄG|.|||||
Numer domu jest wymagany|A1271007||WARSZAWA|-|||||
Numer domu jest wymagany|A1339263|57-451|SWIERKI|Swierki|||||
Numer domu jest wymagany|A1264259|00-950|WARSZAWA||||||
Numer domu jest wymagany|A1372281|26-611|RADOM||||MAZOWIECKIE||
Numer domu jest wymagany|A1372283|32-700|BOCHNIA||||MAŁOPOLSKIE||
Numer domu jest wymagany|A1372284|32-080|ZABIERZÓW||||MAŁOPOLSKIE||
Numer domu jest wymagany|A1264303|32-447|SIEPRAW||||||
Numer domu jest wymagany|A1264427||TOMASZÓW L.|.|||||
Numer domu jest wymagany|A1264348||SANOK|.|||||
Numer domu jest wymagany|A1264363||WADOWICE|.|||||
Numer domu jest wymagany|A1264367||RYBNIK|.|||||
Numer domu jest wymagany|A1264386|31-988|KRAKÓW|ORŁOWSKIEGO 35 ŁUCZANOWICE|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1265880|34-106|MUCHARZ||||||
Numer domu jest wymagany|A1261420|21-132|KAMIONKA||||||
Numer domu jest wymagany|A1272390||TARNÓW|Kwiatkowskiego|||||
Numer domu jest wymagany|A1272526|59-225|CHOJNÓW||||||
Numer domu jest wymagany|A1341950|32-045|SUŁOSZOWA|Wielmoża|||||
Numer domu jest wymagany|A1341976|32-340|WOLBROM||||||
Numer domu jest wymagany|A1271289|32-021|KOŹMICE WIELKIE 478||||||
Numer domu jest wymagany|A1268518|32-700|BOCHNIA|Solna Góra|||MAŁOPOLSKIE|BOCHEŃSKI|BOCHNIA
Numer domu jest wymagany|A1271338|32-066|ALWERNIA|Regulice|||||
Numer domu jest wymagany|A1268535|50-370|WROCŁAW|Wybrzeże Wyspiańskiego|||||
Numer domu jest wymagany|A1271577|02-303|WARSZAWA|skr.poczt.160|||||
Numer domu jest wymagany|A1271675|47-330|ZDZIESZOWICE|Filarskiego|||||
Numer domu jest wymagany|A1271699|00-901|WARSZAWA|Pałac Kultury i Nauki|||||
Numer domu jest wymagany|A1271775||XIANA|2Yanta Road|||||
Numer domu jest wymagany|A1271791|32-310|KLUCZE||||||
Numer domu jest wymagany|A1271915|38-712|WOJTKOWA||||||
Numer domu jest wymagany|A1272012|31-273|KRAKÓW|Batalionu Skała AK|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1263915|32-066|ALWERNIA|Regulice Górne|||||
Numer domu jest wymagany|A1263986|00-330|WARSZAWA|Nowy Świat 72 Pałac Staszic|||||
Numer domu jest wymagany|A1264167||WARSZAWA|l.|||||
Numer domu jest wymagany|A1264251|31-272|KRAKÓW|nieznana|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1275142||JASTRZĘBIE ZDRÓJ|-|||||
Numer domu jest wymagany|A1275159|32-066|ALWERNIA|REGULICE|||||
Numer domu jest wymagany|A1275185|32-700|BOCHNIA|Karosek 55 a|||||
Numer domu jest wymagany|A1193958||KRAKÓW|uL. Nieznana|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1273679|32-047|OJCÓW 8|-|||||
Numer domu jest wymagany|A1273680|31-146|WROCŁAW|Długa|||||
Numer domu jest wymagany|A1273757|34-220|BIAŁKA K/MAKOWA PODHAL.||||||
Numer domu jest wymagany|A1344406|33-332|PIORUNKA 18A K/KRYNICY||||MAŁOPOLSKIE||
Numer domu jest wymagany|A1274040||KRAKÓW|Kraków|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1344389|32-040|ŚWIĄTNIKI GÓRNE||||||
Numer domu jest wymagany|A1344507|37-734|KŁOKOWICE 6||||||
Numer domu jest wymagany|A1344509|05-400|OTWOCK-ŚWIERK||||||
Numer domu jest wymagany|A1344581|38-607|CISNA||||||
Numer domu jest wymagany|A1344582|38-600|LESKO|Piłsudskiego|||||
Numer domu jest wymagany|A1354007|32-500|CHRZANÓW|Niepodległości|||MAŁOPOLSKIE||
Numer domu jest wymagany|A1270302|39-200|DĘBICA||||||
Numer domu jest wymagany|A1270366|34-400|NOWY TARG||||||
Numer domu jest wymagany|A1270367|34-700|RABKA||||||
Numer domu jest wymagany|A1270368|28-230|POŁANIEC|Kościuszki|||||
Numer domu jest wymagany|A1270196||KRAKÓW|-|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1384654|34-124|KLECZA DOLNA 24A||||||
Numer domu jest wymagany|A1274551|06-450|GLINOJECK||||||
Numer domu jest wymagany|A1274608|09-442|ROGOZINO|Boryszewo Nowe k/Płocka|||||
Numer domu jest wymagany|A1274621|32-551|BABICE||||||
Numer domu jest wymagany|A1275356||TYCHY|-|||||
Numer domu jest wymagany|A1275404||KALISZ|-|||||
Numer domu jest wymagany|A1273234|21-012|ZOFIÓWKA||||||
Numer domu jest wymagany|A1273429||KRAKÓW|Nieznana|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1273511|62-052|KOMORNIKI|Głuchowo|||||
Numer domu jest wymagany|A1274769|32-765|BOREK 290||||MAŁOPOLSKIE|BOCHEŃSKI|BOCHNIA
Numer domu jest wymagany|A1274812|13-330|KROTOSZYNY|Bielice|||||
Numer domu jest wymagany|A1274900|50-344|WROCŁAW|ul.Gdańska 7/9|||||
Numer domu jest wymagany|A1274962|38-714|USTRZYKI GÓRNE||||||
Numer domu jest wymagany|A1275540|32-570|TENCZYNEK|Zalas|||||
Numer domu jest wymagany|A1275685|59-500|WILKÓW||||||
Numer domu jest wymagany|A1276721|32-551|BABICE|Babice|||||
Numer domu jest wymagany|A1269636|00-901|WARSZAWA|PAŁAC KULTURY i NAUKI|||||
Numer domu jest wymagany|A1269849|39-123|CZARNA 185||||||
Numer domu jest wymagany|A1277570|32-060|LISZKI-KASZÓW NR 225||||||
Numer domu jest wymagany|A1278589|32-085|MODLNICA|Szyce|||||
Numer domu jest wymagany|A1278677|43-600|JAWORZNO||||||
Numer domu jest wymagany|A1276931|32-083|BALICE 61||||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1276970|31-032|KRAKÓW|Starowiślna|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1278048|39-100|ROPCZYCE|Króla K.Wielkiego|||||
Numer domu jest wymagany|A1272722|32-066|ALWERNIA|Okleśna|||||
Numer domu jest wymagany|A1273059|32-065|KRZESZOWICE||||||
Numer domu jest wymagany|A1278459|36-054|MROWLA 214||||PODKARPACKIE|RZESZÓW|RZESZÓW
Numer domu jest wymagany|A1278458|31-152|KRAKÓW|PĘDZICHÓW|||MAŁOPOLSKIE|KRAKÓW|KRAKÓW
Numer domu jest wymagany|A1279847|50-383|WROCŁAW||||||
Numer domu jest wymagany|A1278523|34-460|SZCZAWNICA|Główna|||||
Numer domu jest wymagany|A1278527|95-006|BRÓJCE|Brzozowa 7, Bukowiec|||||
Numer domu jest wymagany|A1362156|59-220|LEGNICA|II Armii Wojska Polskiego|||||
Numer domu jest wymagany|A1277504|62-035|KÓRNIK||||||
Numer domu jest wymagany|A1273796|34-120|ANDRYCHÓW|Włókniarzy|||||
Numer domu jest wymagany|A1273799||CIESZYN|-|||||
Numer domu jest wymagany|A1281207|97-400|BEŁCHATÓW||||||
Numer domu jest wymagany|A1280934|41-709|RUDA ŚLĄSKA|Chorzowska|||||
Numer domu jest wymagany|A1279293|28-100|BUSKO ZDRÓJ||||||
Numer domu jest wymagany|A1279509|37-464|STALOWA WOLA||||||
